"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","7","1","0","0","4.4","3.6","0","4.4","0","0"
"11","7","2","0","0","5","2.6","0","5","0","0"
"11","7","3","0","0","5.6","3.1","0","5.6","0","0"
"11","7","4","0","0","6.1","4.1","0","6.1","0","0"
"11","7","5","0","0","5.6","4.1","0","5.6","0","0"
"11","7","6","0","0","5.6","2.6","0","5.6","0","0"
"11","7","7","0","26","5.6","2.1","25.777","4.169","97.354","73.3"
"11","7","8","1","103","6.7","3.1","107.258","7.56","399.068","368.949"
"11","7","9","65","166","7.8","4.1","216.027","11.166","787.07","748.013"
"11","7","10","125","201","7.8","3.1","311.839","14.167","1123.477","1075.631"
"11","7","11","217","168","8.9","3.1","363.606","16.756","1295.501","1242.788"
"11","7","12","533","152","8.9","4.6","610.156","20.618","2133.957","2053.915"
"11","7","13","840","54","9.4","3.6","692.682","24.953","2363.981","2275.393"
"11","7","14","792","57","10","3.1","576.087","23.837","1954.769","1881.07"
"11","7","15","690","45","10","1.5","391.463","21.764","1294.947","1242.25"
"11","7","16","430","28","8.3","2.6","161.592","11.742","502.507","470.131"
"11","7","17","30","4","6.7","3.1","8.543","5.493","24.98","2.265"
"11","7","18","0","0","6.7","2.1","0","6.7","0","0"
