"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","AKRON, OH"
"Lat (deg N):","40.92"
"Long (deg W):","81.43"
"Elev (m):","377"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","18","15","783","103","17.8","3.1","669.46","33.844","2184.465","2102.585"
"4","18","16","690","104","17.2","2.6","467.138","29.022","1516.186","1456.861"
"4","18","17","457","75","15.6","4.1","209.743","19.664","650.464","614.7"
"4","18","18","69","47","13.9","2.1","45.711","13.899","156.205","131.029"
"4","18","19","0","0","12.2","2.6","0","12.2","0","0"
"4","18","20","0","0","12.8","2.6","0","12.8","0","0"
"4","18","21","0","0","12.2","3.6","0","12.2","0","0"
"4","18","22","0","0","11.7","3.6","0","11.7","0","0"
"4","18","23","0","0","12.2","5.2","0","12.2","0","0"
"4","19","0","0","0","12.8","5.2","0","12.8","0","0"
"4","19","1","0","0","13.9","6.7","0","13.9","0","0"
"4","19","2","0","0","14.4","4.1","0","14.4","0","0"
"4","19","3","0","0","14.4","4.1","0","14.4","0","0"
"4","19","4","0","0","15.6","5.2","0","15.6","0","0"
"4","19","5","0","2","16.7","5.2","1.94","15.439","6.972","0"
"4","19","6","38","50","17.8","7.2","50.117","17.557","171.257","145.789"
"4","19","7","46","148","18.9","7.7","157.967","20.368","547.118","513.74"
"4","19","8","38","103","18.9","6.2","120.676","20.063","421.814","391.207"
"4","19","9","26","202","20.6","6.2","218.446","23.434","756.343","718.041"
"4","19","10","7","344","20.6","6.7","343.216","25.475","1177.989","1128.628"
"4","19","11","3","320","22.8","7.2","315.709","27.187","1074.876","1028.359"
"4","19","12","6","399","22.2","8.8","399.305","27.181","1359.529","1304.941"
"4","19","13","3","185","21.7","6.7","181.079","24.119","625.489","590.31"
"4","19","14","5","290","22.2","6.7","286.721","26.124","981.074","937.066"
"4","19","15","1","154","22.2","5.7","148.311","24.165","512.162","479.571"
"4","19","16","1","132","13.3","3.6","126.701","14.937","456.372","425.015"
"4","19","17","1","122","13.9","2.6","116.334","15.425","418","387.475"
"4","19","18","0","40","13.9","2.1","37.115","13.336","134.676","109.914"
"4","19","19","0","1","13.9","2.1","0.97","12.063","3.539","0"
"4","19","20","0","0","15.6","6.2","0","15.6","0","0"
"4","19","21","0","0","16.1","5.2","0","16.1","0","0"
"4","19","22","0","0","16.1","6.2","0","16.1","0","0"
"4","19","23","0","0","14.4","5.7","0","14.4","0","0"
"4","20","0","0","0","14.4","4.1","0","14.4","0","0"
"4","20","1","0","0","13.9","4.1","0","13.9","0","0"
"4","20","2","0","0","12.8","6.2","0","12.8","0","0"
"4","20","3","0","0","12.8","6.2","0","12.8","0","0"
"4","20","4","0","0","11.7","7.7","0","11.7","0","0"
"4","20","5","0","5","11.1","6.2","4.849","9.96","17.861","0"
"4","20","6","82","54","11.1","7.2","57.848","10.911","195.979","170.028"
"4","20","7","342","116","11.1","9.8","230.672","13.238","775.475","736.704"
"4","20","8","473","169","11.7","9.8","438.086","16.661","1529.283","1469.552"
"4","20","9","213","304","11.7","7.2","467.141","18.443","1651.185","1587.611"
"4","20","10","173","313","12.8","7.2","474.796","19.705","1672.946","1608.672"
"4","20","11","484","341","12.8","7.2","841.184","25.5","2886.465","2776.793"
"4","20","12","381","348","13.9","8.2","760.66","24.743","2619.746","2521.128"
"4","20","13","187","364","14.4","6.7","556.974","23.344","1930.678","1857.812"
"4","20","14","141","372","15","8.2","504.955","21.877","1761.478","1694.316"
"4","20","15","365","253","15","7.7","521.235","22.37","1804.122","1735.546"
"4","20","16","216","217","15","6.7","327.646","19.892","1134.573","1086.422"
"4","20","17","249","103","13.9","6.7","173.946","16.018","574.469","540.468"
"4","20","18","39","41","13.3","3.1","39.838","12.988","139.354","114.502"
"4","20","19","0","1","11.7","2.6","0.97","9.949","3.572","0"
"4","20","20","0","0","11.1","2.1","0","11.1","0","0"
"4","20","21","0","0","10","2.1","0","10","0","0"
"4","20","22","0","0","10","2.6","0","10","0","0"
"4","20","23","0","0","8.3","2.6","0","8.3","0","0"
"4","21","0","0","0","7.2","2.1","0","7.2","0","0"
"4","21","1","0","0","8.9","2.6","0","8.9","0","0"
"4","21","2","0","0","7.8","2.1","0","7.8","0","0"
"4","21","3","0","0","8.3","1.5","0","8.3","0","0"
"4","21","4","0","0","8.3","3.6","0","8.3","0","0"
"4","21","5","0","5","9.4","4.6","4.849","7.998","18.014","0"
"4","21","6","7","47","10","4.1","44.834","9.393","164.132","138.803"
"4","21","7","26","67","12.2","4.1","73.004","12.328","261.398","234.143"
"4","21","8","98","221","14.4","2.1","271.315","20.057","947.577","904.446"
"4","21","9","668","187","18.3","4.1","699.555","32.474","2306.603","2220.189"
"4","21","10","715","210","18.9","6.2","865.239","33.579","2852.634","2744.398"
"4","21","11","746","223","20.6","5.2","974.692","39.227","3128.183","3007.97"
"4","21","12","744","240","21.1","7.2","1010.886","37.072","3280.013","3152.925"
"4","21","13","701","230","22.2","6.7","929.935","37.636","3008.202","2893.284"
"4","21","14","564","257","22.8","7.2","764.461","34.871","2503.761","2409.761"
"4","21","15","457","260","22.2","8.2","599.432","30.729","1993.24","1918.203"
"4","21","16","304","207","19.4","6.2","366.687","25.38","1232.371","1181.474"
"4","21","17","10","111","17.8","6.2","108.374","18.997","381.383","351.641"
"4","21","18","13","41","16.1","5.2","38.544","15.705","136.567","111.769"
"4","21","19","0","1","15","4.1","0.97","13.57","3.516","0"
"4","21","20","0","0","12.2","4.6","0","12.2","0","0"
"4","21","21","0","0","10.6","5.2","0","10.6","0","0"
"4","21","22","0","0","9.4","4.6","0","9.4","0","0"
"4","21","23","0","0","7.2","6.2","0","7.2","0","0"
"4","22","0","0","0","5","6.2","0","5","0","0"
"4","22","1","0","0","3.9","3.6","0","3.9","0","0"
"4","22","2","0","0","3.9","3.1","0","3.9","0","0"
"4","22","3","0","0","3.9","4.1","0","3.9","0","0"
"4","22","4","0","0","2.8","3.6","0","2.8","0","0"
"4","22","5","1","3","2.8","3.6","2.91","1.06","11.135","0"
"4","22","6","2","19","2.8","3.6","18.191","1.428","69.088","45.562"
"4","22","7","109","112","3.9","3.6","146.054","5.6","528.121","495.171"
"4","22","8","2","112","5","3.1","107.886","6.194","403.772","373.553"
"4","22","9","0","209","5.6","2.1","201.476","9.455","743.716","705.721"
"4","22","10","5","297","6.1","4.1","293.586","11.36","1074.652","1028.142"
"4","22","11","9","339","7.8","3.6","340.395","14.684","1227.722","1176.958"
"4","22","12","7","336","7.8","2.6","335.681","15.531","1206.134","1155.982"
"4","22","13","87","336","7.8","3.6","421.792","16.647","1507.825","1448.759"
"4","22","14","170","333","8.9","3.1","488.597","20.015","1718.873","1653.109"
"4","22","15","263","269","10","5.2","465.368","18.334","1642.962","1579.651"
"4","22","16","7","145","9.4","5.2","142.314","11.492","519.985","487.219"
"4","22","17","17","131","7.8","3.6","129.391","9.436","474.224","442.475"
"4","22","18","2","40","7.2","4.1","37.396","6.665","139.432","114.579"
"4","22","19","0","1","6.7","5.2","0.97","5.362","3.644","0"
"4","22","20","0","0","4.4","7.2","0","4.4","0","0"
"4","22","21","0","0","4.4","6.7","0","4.4","0","0"
"4","22","22","0","0","3.9","7.2","0","3.9","0","0"
"4","22","23","0","0","4.4","5.2","0","4.4","0","0"
"4","23","0","0","0","5","5.7","0","5","0","0"
"4","23","1","0","0","5.6","4.1","0","5.6","0","0"
"4","23","2","0","0","5.6","3.1","0","5.6","0","0"
"4","23","3","0","0","6.1","3.1","0","6.1","0","0"
"4","23","4","0","0","6.1","3.1","0","6.1","0","0"
"4","23","5","0","5","6.1","7.7","4.849","5.08","18.243","0"
"4","23","6","2","49","7.2","7.7","46.255","6.817","172.297","146.809"
"4","23","7","2","130","5.6","7.2","124.455","6.468","465.05","433.502"
"4","23","8","3","146","5","7.2","141.345","6.212","528.926","495.959"
"4","23","9","1","284","3.9","8.2","276.662","6.989","1032.256","986.889"
"4","23","10","0","213","3.3","7.7","205.518","5.566","771.557","732.882"
"4","23","11","2","253","3.9","10.3","247.271","6.223","925.678","883.117"
"4","23","12","1","254","3.3","10.3","247.408","5.648","928.494","885.86"
"4","23","13","2","239","2.8","8.2","233.305","5.344","876.709","835.404"
"4","23","14","0","228","3.3","7.7","220.288","5.749","826.357","786.323"
"4","23","15","1","171","3.3","8.2","164.803","4.827","620.643","585.577"
"4","23","16","0","134","3.3","6.2","128.01","4.448","482.889","450.948"
"4","23","17","1","115","3.9","6.2","109.475","4.683","412.351","381.947"
"4","23","18","0","38","3.9","6.2","35.589","3.377","134.868","110.103"
"4","23","19","0","2","2.8","3.1","1.94","1.032","7.424","0"
"4","23","20","0","0","3.3","2.6","0","3.3","0","0"
"4","23","21","0","0","2.2","4.1","0","2.2","0","0"
"4","23","22","0","0","2.8","5.2","0","2.8","0","0"
"4","23","23","0","0","3.3","5.2","0","3.3","0","0"
"4","24","0","0","0","2.8","4.6","0","2.8","0","0"
"4","24","1","0","0","2.8","6.7","0","2.8","0","0"
"4","24","2","0","0","2.2","5.7","0","2.2","0","0"
"4","24","3","0","0","1.7","4.1","0","1.7","0","0"
"4","24","4","0","0","1.7","6.2","0","1.7","0","0"
"4","24","5","9","5","0.6","3.6","4.849","-1.113","18.729","0"
"4","24","6","317","45","1.1","4.1","75.585","1.097","220.605","194.167"
"4","24","7","557","84","3.3","5.7","277.149","7.112","932.807","890.061"
"4","24","8","668","121","4.4","7.7","504.544","11.204","1797.097","1728.754"
"4","24","9","417","274","5","6.7","601.189","14.305","2162.051","2080.989"
"4","24","10","96","315","5","5.2","408.826","12.4","1489.117","1430.625"
"4","24","11","182","258","6.1","4.6","451.842","14.651","1629.805","1566.914"
"4","24","12","8","306","6.1","6.2","306.269","10.719","1124.279","1076.411"
"4","24","13","265","346","7.2","6.2","621.72","17.102","2217.798","2134.693"
"4","24","14","256","335","7.8","7.2","572.459","16.365","2047.261","1970.322"
"4","24","15","71","258","7.2","5.2","305.703","12.587","1110.758","1063.262"
"4","24","16","80","147","7.8","5.7","187.419","10.329","681.712","645.209"
"4","24","17","69","105","6.7","5.2","120.803","7.914","434.939","404.048"
"4","24","18","5","38","6.7","2.6","35.924","6.032","133.831","109.085"
"4","24","19","0","2","5.6","0","1.94","1.735","7.402","0"
"4","24","20","0","0","3.9","0","0","3.9","0","0"
"4","24","21","0","0","4.4","0","0","4.4","0","0"
"4","24","22","0","0","3.3","2.1","0","3.3","0","0"
"4","24","23","0","0","3.9","1.5","0","3.9","0","0"
"4","25","0","0","0","2.8","0","0","2.8","0","0"
"4","25","1","0","0","3.3","2.1","0","3.3","0","0"
"4","25","2","0","0","2.8","2.1","0","2.8","0","0"
"4","25","3","0","0","2.8","2.6","0","2.8","0","0"
"4","25","4","0","0","2.8","2.6","0","2.8","0","0"
"4","25","5","7","11","2.2","2.1","10.668","0.291","40.961","17.954"
"4","25","6","175","44","3.3","2.1","59.534","2.819","188.164","162.366"
"4","25","7","575","79","5.6","2.6","279.527","11.066","923.009","880.517"
"4","25","8","603","147","8.3","3.1","495.558","19.225","1706.951","1641.576"
"4","25","9","562","187","9.4","3.6","624.325","23.169","2153.379","2072.633"
"4","25","10","113","307","9.4","3.6","415.458","18.758","1470.517","1412.595"
"4","25","11","612","201","11.1","3.1","823.561","29.957","2766.637","2662.007"
"4","25","12","604","305","11.1","2.6","937.93","34.812","3077.617","2959.65"
"4","25","13","393","236","12.2","4.1","638.139","26.501","2179.286","2097.596"
"4","25","14","719","159","12.8","2.1","799.405","33.963","2629.183","2530.184"
"4","25","15","803","102","13.3","2.6","685.277","30.839","2269.77","2184.737"
"4","25","16","667","112","11.7","4.1","466.089","21.766","1568.819","1507.856"
"4","25","17","248","92","11.1","4.1","163.654","14.105","542.967","509.683"
"4","25","18","16","50","9.4","2.6","46.575","9.177","169.688","144.251"
"4","25","19","5","3","7.2","2.1","2.91","5.314","10.935","0"
"4","25","20","0","0","7.8","0","0","7.8","0","0"
"4","25","21","0","0","6.7","0","0","6.7","0","0"
"4","25","22","0","0","5.6","0","0","5.6","0","0"
"4","25","23","0","0","6.1","2.6","0","6.1","0","0"
"4","26","0","0","0","5","2.1","0","5","0","0"
"4","26","1","0","0","4.4","1.5","0","4.4","0","0"
"4","26","2","0","0","5","2.6","0","5","0","0"
"4","26","3","0","0","5","2.1","0","5","0","0"
"4","26","4","0","0","3.9","2.1","0","3.9","0","0"
"4","26","5","5","10","3.9","2.6","9.698","2.134","36.948","14.015"
"4","26","6","241","54","5.6","2.1","76.444","5.618","234.764","208.045"
"4","26","7","513","96","7.8","3.6","276.243","12.69","915.906","873.597"
"4","26","8","662","132","11.1","5.2","514.689","20.051","1764.001","1696.756"
"4","26","9","748","159","12.2","4.1","735.323","27.724","2480.68","2387.585"
"4","26","10","585","257","14.4","4.1","799.032","31.658","2659.833","2559.593"
"4","26","11","217","364","13.9","4.6","597.897","26.171","2045.301","1968.432"
"4","26","12","184","319","14.4","5.2","523.851","24.053","1810.043","1741.269"
"4","26","13","304","358","14.4","5.7","671.45","26.08","2297.74","2211.659"
"4","26","14","203","319","15","6.2","501.81","23.353","1738.132","1671.739"
"4","26","15","386","258","15.6","4.1","541.184","26.904","1833.855","1764.283"
"4","26","16","277","201","15","4.1","346.756","22.196","1184.235","1134.699"
"4","26","17","130","103","13.9","4.1","138.277","16.126","470.204","438.543"
"4","26","18","74","40","12.8","3.6","41.199","12.425","138.797","113.956"
"4","26","19","0","1","11.1","2.6","0.97","9.342","3.582","0"
"4","26","20","0","0","9.4","3.1","0","9.4","0","0"
"4","26","21","0","0","8.3","1.5","0","8.3","0","0"
"4","26","22","0","0","7.8","0","0","7.8","0","0"
"4","26","23","0","0","8.3","0","0","8.3","0","0"
"4","27","0","0","0","7.8","0","0","7.8","0","0"
"4","27","1","0","0","7.2","0","0","7.2","0","0"
"4","27","2","0","0","7.2","0","0","7.2","0","0"
"4","27","3","0","0","6.7","0","0","6.7","0","0"
"4","27","4","0","0","6.1","2.6","0","6.1","0","0"
"4","27","5","9","8","5","3.1","7.519","3.301","28.503","5.724"
"4","27","6","51","58","7.2","2.6","59.79","6.808","212.188","185.917"
"4","27","7","613","75","11.1","2.6","291.104","16.86","935.59","892.772"
"4","27","8","759","101","12.8","2.6","538.546","25.391","1796.33","1728.013"
"4","27","9","823","120","13.9","4.1","750.249","29.749","2505.551","2411.481"
"4","27","10","380","347","15","4.1","702.416","30.238","2355.016","2266.77"
"4","27","11","39","276","14.4","2.1","313.804","23.254","1088.321","1041.438"
"4","27","12","685","264","16.1","4.1","978.629","36.247","3188.457","3065.538"
"4","27","13","674","257","16.1","4.6","932.774","35.447","3050.523","2933.751"
"4","27","14","707","194","17.8","2.6","826.212","38.877","2652.135","2552.207"
"4","27","15","692","168","17.2","4.1","676.684","32.004","2231.73","2148.111"
"4","27","16","590","142","16.7","6.2","456.932","24.303","1525.874","1466.249"
"4","27","17","592","69","15.6","3.6","246.849","20.721","753.655","715.418"
"4","27","18","273","38","13.3","3.6","50.166","13.4","139.885","115.023"
"4","27","19","5","3","9.4","3.1","2.91","7.786","10.819","0"
"4","27","20","0","0","10.6","3.6","0","10.6","0","0"
"4","27","21","0","0","10","4.1","0","10","0","0"
"4","27","22","0","0","7.8","2.1","0","7.8","0","0"
"4","27","23","0","0","6.7","3.1","0","6.7","0","0"
"4","28","0","0","0","7.2","2.1","0","7.2","0","0"
"4","28","1","0","0","6.7","1.5","0","6.7","0","0"
"4","28","2","0","0","5.6","3.1","0","5.6","0","0"
"4","28","3","0","0","5.6","2.6","0","5.6","0","0"
"4","28","4","0","0","5.6","3.1","0","5.6","0","0"
"4","28","5","68","11","6.7","3.6","8.504","5.144","31.984","9.142"
"4","28","6","497","36","8.3","3.6","91.919","8.738","232.516","205.841"
"4","28","7","725","56","11.7","5.2","312.903","16.501","996.814","952.39"
"4","28","8","840","74","13.9","6.7","556.481","22.321","1879.573","1808.456"
"4","28","9","900","88","15.6","6.2","772.331","28.477","2594.148","2496.559"
"4","28","10","932","97","17.8","6.2","936.173","33.776","3083.301","2965.083"
"4","28","11","953","103","17.8","7.2","1041.928","34.186","3428.93","3294.907"
"4","28","12","958","104","18.3","6.7","1070.956","36.044","3492.766","3355.712"
"4","28","13","953","102","18.3","5.7","1027.655","37.162","3332.139","3202.645"
"4","28","14","905","114","20","5.7","905.731","36.629","2939.428","2827.49"
"4","28","15","895","85","20","4.6","731.43","35.181","2371.087","2282.229"
"4","28","16","787","87","20","5.2","504.034","29.534","1630.643","1567.725"
"4","28","17","657","62","19.4","4.1","260.585","24.677","775.401","736.631"
"4","28","18","391","33","18.3","3.6","53.59","18.589","130.2","105.524"
"4","28","19","19","4","15","2.6","3.879","13.436","14.07","0"
"4","28","20","0","0","14.4","3.1","0","14.4","0","0"
"4","28","21","0","0","13.3","3.1","0","13.3","0","0"
"4","28","22","0","0","12.8","4.1","0","12.8","0","0"
"4","28","23","0","0","12.2","4.6","0","12.2","0","0"
"4","29","0","0","0","11.1","5.7","0","11.1","0","0"
"4","29","1","0","0","10.6","5.2","0","10.6","0","0"
"4","29","2","0","0","10","4.1","0","10","0","0"
"4","29","3","0","0","10","4.1","0","10","0","0"
"4","29","4","0","0","10","4.1","0","10","0","0"
"4","29","5","2","11","9.4","4.1","10.42","8.023","38.705","15.74"
"4","29","6","127","60","11.7","5.2","70.504","11.709","230.288","203.658"
"4","29","7","165","144","14.4","6.7","197.855","16.625","679.704","643.248"
"4","29","8","117","214","16.7","7.7","279.382","20.126","974.885","931.04"
"4","29","9","180","324","17.8","8.8","463.712","23.593","1601.825","1539.822"
"4","29","10","7","280","17.2","8.2","277.799","20.704","974.889","931.044"
"4","29","11","8","411","17.2","7.2","411.593","22.958","1429.465","1372.788"
"4","29","12","10","202","14.4","7.7","204.812","16.871","731.469","693.771"
"4","29","13","8","226","12.8","8.2","225.982","15.274","812.905","773.207"
"4","29","14","6","225","12.8","8.2","222.219","15.237","799.464","760.101"
"4","29","15","2","150","12.2","7.7","144.93","13.56","525.306","492.42"
"4","29","16","0","108","12.2","8.8","102.85","12.788","374.109","344.522"
"4","29","17","0","59","12.2","7.2","56.014","12.093","204.377","178.26"
"4","29","18","0","51","12.2","8.2","47.17","11.929","172.234","146.747"
"4","29","19","0","5","12.2","8.8","4.849","11.344","17.752","0"
"4","29","20","0","0","12.2","6.2","0","12.2","0","0"
"4","29","21","0","0","12.2","4.1","0","12.2","0","0"
"4","29","22","0","0","12.8","5.2","0","12.8","0","0"
"4","29","23","0","0","13.3","8.2","0","13.3","0","0"
"4","30","0","0","0","13.9","6.2","0","13.9","0","0"
"4","30","1","0","0","13.3","7.7","0","13.3","0","0"
"4","30","2","0","0","12.8","4.1","0","12.8","0","0"
"4","30","3","0","0","13.3","6.2","0","13.3","0","0"
"4","30","4","0","0","13.3","6.7","0","13.3","0","0"
"4","30","5","0","13","13.3","5.2","12.321","12.198","44.933","21.853"
"4","30","6","1","38","12.8","7.7","36.168","12.314","131.62","106.916"
