"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","MANSFIELD LAHM MUNICIPAL ARPT, OH"
"Lat (deg N):","40.82"
"Long (deg W):","82.52"
"Elev (m):","395"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"6","30","19","26","31","26.7","6.2","27.945","26.346","95.521","71.502"
"6","30","20","0","0","25","1.4","0","25","0","0"
"6","30","21","0","0","23.1","1.7","0","23.1","0","0"
"6","30","22","0","0","21.2","2","0","21.2","0","0"
"6","30","23","0","0","19.3","2.3","0","19.3","0","0"
"7","1","0","0","0","17.4","2.7","0","17.4","0","0"
"7","1","1","0","0","15.5","3","0","15.5","0","0"
"7","1","2","0","0","13.6","3.3","0","13.6","0","0"
"7","1","3","0","0","11.7","3.6","0","11.7","0","0"
"7","1","4","0","0","12.8","3.6","0","12.8","0","0"
"7","1","5","11","22","13.9","3.6","20.521","12.733","74.661","51.032"
"7","1","6","208","83","15","3.6","100.494","15.753","315.636","287.272"
"7","1","7","362","161","17","3.8","279.965","21.975","917.269","874.925"
"7","1","8","330","263","19.1","3.9","442.741","27.984","1478.479","1420.313"
"7","1","9","482","313","21.1","4.1","675.773","35.076","2203.836","2121.246"
"7","1","10","276","441","21.8","4.8","692.466","35.462","2263.53","2178.729"
"7","1","11","444","356","22.6","5.5","806.873","37.329","2614.52","2516.112"
"7","1","12","497","374","23.3","6.2","895.535","38.671","2882.691","2773.18"
"7","1","13","138","434","23.5","6.5","575.707","33.202","1904.024","1832.072"
"7","1","14","547","323","23.7","6.9","827.985","36.758","2688.639","2587.224"
"7","1","15","361","313","23.9","7.2","590.45","33.141","1946.576","1873.161"
"7","1","16","204","240","23","6.9","353.41","28.394","1183.774","1134.251"
"7","1","17","139","193","22","6.5","235.546","25.338","788.384","749.294"
"7","1","18","34","85","21.1","6.2","84.09","21.76","286.191","258.432"
"7","1","19","4","15","20.9","5.9","14.208","20.133","49.994","26.821"
"7","1","20","0","0","20.8","5.5","0","20.8","0","0"
"7","1","21","0","0","20.6","5.2","0","20.6","0","0"
"7","1","22","0","0","20.2","5.2","0","20.2","0","0"
"7","1","23","0","0","19.8","5.2","0","19.8","0","0"
"7","2","0","0","0","19.4","5.2","0","19.4","0","0"
"7","2","1","0","0","19","4.7","0","19","0","0"
"7","2","2","0","0","18.7","4.1","0","18.7","0","0"
"7","2","3","0","0","18.3","3.6","0","18.3","0","0"
"7","2","4","0","0","18.9","3.6","0","18.9","0","0"
"7","2","5","1","16","19.4","3.6","15.161","18.225","53.813","30.57"
"7","2","6","5","54","20","3.6","51.825","19.714","181.644","155.974"
"7","2","7","4","135","20.7","3.6","128.835","22.27","448.222","417.042"
"7","2","8","5","178","21.5","3.6","172.221","24.242","594.193","559.739"
"7","2","9","7","299","22.2","3.6","292.334","27.748","992.478","948.17"
"7","2","10","7","351","22.2","3.6","345.438","29.197","1164.829","1115.836"
"7","2","11","6","423","22.2","3.6","417.402","30.909","1395.982","1340.31"
"7","2","12","3","436","22.2","3.6","428.068","31.301","1428.945","1372.284"
"7","2","13","2","405","22.8","3.3","395.736","31.469","1319.942","1266.518"
"7","2","14","2","424","23.3","2.9","413.388","32.692","1370.635","1315.718"
"7","2","15","1","342","23.9","2.6","330.042","31.658","1099.794","1052.599"
"7","2","16","1","259","23","2.9","247.593","28.301","838.445","798.108"
"7","2","17","0","178","22","3.3","167.735","25.012","576.973","542.916"
"7","2","18","0","90","21.1","3.6","83.775","21.917","292.36","264.476"
"7","2","19","0","28","20.2","3.3","26.013","19.468","91.811","67.861"
"7","2","20","0","0","19.2","2.9","0","19.2","0","0"
"7","2","21","0","0","18.3","2.6","0","18.3","0","0"
"7","2","22","0","0","18.1","2.8","0","18.1","0","0"
"7","2","23","0","0","18","2.9","0","18","0","0"
"7","3","0","0","0","17.8","3.1","0","17.8","0","0"
"7","3","1","0","0","17.6","2.9","0","17.6","0","0"
"7","3","2","0","0","17.4","2.8","0","17.4","0","0"
"7","3","3","0","0","17.2","2.6","0","17.2","0","0"
"7","3","4","0","0","17","2.2","0","17","0","0"
"7","3","5","1","9","16.9","1.9","8.515","15.161","30.647","7.829"
"7","3","6","33","81","16.7","1.5","78.542","16.957","273.322","245.825"
"7","3","7","180","174","18.4","2.4","227.075","22.75","759.742","721.357"
"7","3","8","488","202","20","3.2","474.691","30.099","1559.581","1498.907"
"7","3","9","646","214","21.7","4.1","701.67","36.273","2271.427","2186.332"
"7","3","10","683","245","22.6","3.9","862.292","41.23","2736.563","2633.178"
"7","3","11","685","247","23.5","3.8","932.433","44.053","2919.91","2808.81"
"7","3","12","713","250","24.4","3.6","988.433","46.614","3054.794","2937.835"
"7","3","13","645","266","24.6","3.4","918.538","45.838","2850.028","2741.903"
"7","3","14","604","268","24.8","3.3","825.994","44.084","2584.211","2487.02"
"7","3","15","588","230","25","3.1","688.902","41.42","2176.292","2094.711"
"7","3","16","511","200","24.3","2.9","501.151","36.455","1601.004","1539.027"
"7","3","17","404","147","23.5","2.8","295.733","30.471","932.843","890.096"
"7","3","18","245","92","22.8","2.6","121.633","25.088","365.122","335.725"
"7","3","19","16","23","21.3","2.6","21.571","20.542","75.759","52.109"
"7","3","20","0","0","19.8","2.6","0","19.8","0","0"
"7","3","21","0","0","18.3","2.6","0","18.3","0","0"
"7","3","22","0","0","17.8","2.4","0","17.8","0","0"
"7","3","23","0","0","17.2","2.3","0","17.2","0","0"
"7","4","0","0","0","16.7","2.1","0","16.7","0","0"
"7","4","1","0","0","16.9","2.1","0","16.9","0","0"
"7","4","2","0","0","17","2.1","0","17","0","0"
"7","4","3","0","0","17.2","2.1","0","17.2","0","0"
"7","4","4","0","0","17.8","2.6","0","17.8","0","0"
"7","4","5","33","24","18.3","3.1","21.207","17.233","75.616","51.969"
"7","4","6","123","85","18.9","3.6","92.023","19.526","298.704","270.689"
"7","4","7","421","124","20.4","4.3","265.769","24.854","845.985","805.459"
"7","4","8","497","153","21.8","5","431.679","29.433","1418.93","1362.571"
"7","4","9","575","194","23.3","5.7","629.134","34.178","2057.821","1980.508"
"7","4","10","592","215","22.9","5.7","752.015","36.252","2447.035","2355.252"
"7","4","11","255","380","22.6","5.7","640.536","34.114","2108.886","2029.748"
"7","4","12","2","405","22.2","5.7","396.216","29.15","1336.398","1282.491"
"7","4","13","24","337","22.9","5.7","357.552","28.823","1207.867","1157.665"
"7","4","14","9","297","23.7","5.7","294.498","28.441","996.651","952.232"
"7","4","15","11","255","24.4","5.7","253.019","28.314","856.616","815.821"
"7","4","16","9","231","23.7","5.2","225.538","27.243","767.12","728.553"
"7","4","17","2","143","22.9","4.6","135.946","24.821","467.752","436.145"
"7","4","18","3","104","22.2","4.1","96.482","23.203","334.047","305.301"
"7","4","19","1","25","21.8","3.2","23.515","21.073","82.385","58.611"
"7","4","20","0","0","21.5","2.4","0","21.5","0","0"
"7","4","21","0","0","21.1","1.5","0","21.1","0","0"
"7","4","22","0","0","20.9","2.4","0","20.9","0","0"
"7","4","23","0","0","20.8","3.2","0","20.8","0","0"
"7","5","0","0","0","20.6","4.1","0","20.6","0","0"
"7","5","1","0","0","20.6","4.1","0","20.6","0","0"
"7","5","2","0","0","20.6","4.1","0","20.6","0","0"
"7","5","3","0","0","20.6","4.1","0","20.6","0","0"
"7","5","4","0","0","21","4.3","0","21","0","0"
"7","5","5","17","17","21.3","4.4","16.268","20.338","57.189","33.884"
"7","5","6","10","82","21.7","4.6","77.203","22.012","267.223","239.851"
"7","5","7","6","116","20.8","4.3","111.814","21.96","389.137","359.231"
"7","5","8","3","208","19.8","3.9","199.713","23.012","693.214","656.436"
"7","5","9","2","156","18.9","3.6","150.416","21.27","526.456","493.545"
"7","5","10","174","361","20.7","4.6","515.787","30.195","1730.05","1663.921"
"7","5","11","541","291","22.6","5.7","835.327","37.289","2707.205","2605.029"
"7","5","12","676","213","24.4","6.7","913.547","39.396","2929.965","2818.434"
"7","5","13","689","228","24.8","6.9","923.721","39.778","2956.604","2843.925"
"7","5","14","426","306","25.2","7","703.501","36.543","2287.053","2201.374"
"7","5","15","258","320","25.6","7.2","519.64","33.622","1710.294","1644.81"
"7","5","16","377","256","25.8","7","473.942","33.045","1546.181","1485.925"
"7","5","17","452","140","25.9","6.9","307.74","30.474","966.253","922.634"
"7","5","18","363","72","26.1","6.7","121.647","27.508","335.706","306.926"
"7","5","19","91","25","24.8","5.7","20.941","24.268","72.284","48.699"
"7","5","20","0","0","23.5","4.6","0","23.5","0","0"
"7","5","21","0","0","22.2","3.6","0","22.2","0","0"
"7","5","22","0","0","20.4","5","0","20.4","0","0"
"7","5","23","0","0","18.5","6.3","0","18.5","0","0"
"7","6","0","0","0","16.7","7.7","0","16.7","0","0"
"7","6","1","0","0","15.8","6.5","0","15.8","0","0"
"7","6","2","0","0","14.8","5.3","0","14.8","0","0"
"7","6","3","0","0","13.9","4.1","0","13.9","0","0"
"7","6","4","0","0","13.9","4.3","0","13.9","0","0"
"7","6","5","10","21","13.9","4.4","19.622","12.871","71.349","47.781"
"7","6","6","4","38","13.9","4.6","36.521","13.245","131.708","107.003"
"7","6","7","119","147","15.2","5","180.591","17.461","622.978","587.857"
"7","6","8","446","182","16.5","5.3","430.87","23.668","1458.838","1401.271"
"7","6","9","602","210","17.8","5.7","664.256","29.25","2225.28","2141.899"
"7","6","10","720","194","18.7","5.8","843.061","33.543","2779.844","2674.664"
"7","6","11","727","209","19.7","6.1","934.4","35.909","3049.051","2932.344"
"7","6","12","743","208","20.6","6.2","975.82","37.476","3159.973","3038.337"
"7","6","13","693","243","20.8","6","943.151","37.504","3053.477","2936.575"
"7","6","14","707","224","20.9","5.7","875.692","36.881","2841.359","2733.599"
"7","6","15","428","273","21.1","5.4","608.208","32.569","2009.775","1934.158"
"7","6","16","533","195","19.8","4.8","509.962","29.727","1682.975","1618.377"
"7","6","17","516","118","18.5","4.2","312.927","24.836","1000.964","956.43"
"7","6","18","339","80","17.2","3.6","125.087","19.23","366.424","336.999"
"7","6","19","55","31","15.9","3.3","26.863","15.199","96.664","72.623"
"7","6","20","0","0","14.6","2.9","0","14.6","0","0"
"7","6","21","0","0","13.3","2.6","0","13.3","0","0"
"7","6","22","0","0","13.1","2.2","0","13.1","0","0"
"7","6","23","0","0","13","1.9","0","13","0","0"
"7","7","0","0","0","12.8","1.5","0","12.8","0","0"
"7","7","1","0","0","13.3","1.9","0","13.3","0","0"
"7","7","2","0","0","13.7","2.2","0","13.7","0","0"
"7","7","3","0","0","14.2","2.6","0","14.2","0","0"
"7","7","4","0","0","14.7","2.8","0","14.7","0","0"
"7","7","5","39","24","15.1","2.9","21.164","13.948","76.584","52.919"
"7","7","6","328","69","15.6","3.1","99.814","16.379","287.604","259.817"
"7","7","7","480","122","17.4","3.4","282.953","22.631","904.122","862.116"
"7","7","8","549","179","19.3","3.8","484.841","29.189","1595.719","1533.909"
"7","7","9","577","237","21.1","4.1","670.137","35.04","2183.279","2101.443"
"7","7","10","281","369","21.7","4.6","624.346","34.321","2052.163","1975.05"
"7","7","11","529","288","22.2","5.2","820.654","37.576","2655.842","2555.764"
"7","7","12","123","443","22.8","5.7","575.369","33.238","1902.632","1830.728"
"7","7","13","100","402","23.2","6.2","506.536","31.613","1688.286","1623.516"
"7","7","14","506","283","23.5","6.7","752.724","35.481","2459.798","2367.518"
"7","7","15","558","256","23.9","7.2","691.054","34.648","2259.088","2174.453"
"7","7","16","502","195","23.5","7.4","491.954","30.906","1615.117","1552.693"
"7","7","17","450","141","23.2","7.5","308.21","27.508","982.039","938.006"
"7","7","18","312","80","22.8","7.7","120.875","24.005","349.746","320.672"
"7","7","19","59","26","22.1","7.7","21.711","21.609","75.877","52.225"
"7","7","20","0","0","21.3","7.7","0","21.3","0","0"
"7","7","21","0","0","20.6","7.7","0","20.6","0","0"
"7","7","22","0","0","20.8","6.9","0","20.8","0","0"
"7","7","23","0","0","20.9","6","0","20.9","0","0"
"7","8","0","0","0","21.1","5.2","0","21.1","0","0"
"7","8","1","0","0","21.8","5.5","0","21.8","0","0"
"7","8","2","0","0","22.6","5.9","0","22.6","0","0"
"7","8","3","0","0","23.3","6.2","0","23.3","0","0"
"7","8","4","0","0","23.1","6.7","0","23.1","0","0"
"7","8","5","0","12","23","7.2","11.361","22.239","39.59","16.609"
"7","8","6","2","55","22.8","7.7","52.263","22.68","181.335","155.671"
"7","8","7","2","134","24.5","7.4","127.17","25.611","435.879","404.968"
"7","8","8","65","209","26.1","7","236.931","29.124","794.569","755.327"
"7","8","9","78","292","27.8","6.7","342.226","32.798","1132.295","1084.206"
"7","8","10","145","342","27.1","6.4","471.191","34.532","1547.502","1487.205"
"7","8","11","5","339","26.3","6","333.301","31.764","1110.104","1062.626"
"7","8","12","9","325","25.6","5.7","324.032","30.874","1083.896","1037.134"
"7","8","13","1","313","25.2","4.5","303.877","30.839","1016.647","971.697"
"7","8","14","289","390","24.8","3.3","659.268","39.089","2116.576","2037.161"
"7","8","15","22","177","24.4","2.1","188.755","29.83","634.162","598.78"
"7","8","16","261","218","24.6","2.6","369.295","32.714","1208.752","1158.525"
"7","8","17","293","141","24.8","3.1","247.182","30.083","787.748","748.674"
"7","8","18","243","88","25","3.6","118.019","26.848","350.198","321.114"
"7","8","19","39","26","23.3","3.3","22.991","22.657","79.959","56.231"
"7","8","20","0","0","21.7","2.9","0","21.7","0","0"
"7","8","21","0","0","20","2.6","0","20","0","0"
"7","8","22","0","0","19.1","2.6","0","19.1","0","0"
"7","8","23","0","0","18.1","2.6","0","18.1","0","0"
"7","9","0","0","0","17.2","2.6","0","17.2","0","0"
"7","9","1","0","0","17.6","2.6","0","17.6","0","0"
"7","9","2","0","0","17.9","2.6","0","17.9","0","0"
"7","9","3","0","0","18.3","2.6","0","18.3","0","0"
"7","9","4","0","0","18.7","2.8","0","18.7","0","0"
"7","9","5","1","12","19","2.9","11.362","17.685","40.429","17.432"
"7","9","6","29","85","19.4","3.1","80.917","19.77","279.173","251.558"
"7","9","7","115","187","20.2","3.8","215.575","23.731","726.798","689.213"
"7","9","8","2","177","20.9","4.5","169.618","23.491","587.476","553.177"
"7","9","9","6","363","21.7","5.2","354.229","27.535","1203.884","1153.795"
"7","9","10","3","338","21.1","4.2","329.313","27.508","1119.465","1071.73"
"7","9","11","6","321","20.6","3.1","316.534","27.37","1076.744","1030.176"
"7","9","12","9","248","20","2.1","248.332","25.874","850.751","810.104"
"7","9","13","4","400","20.4","3.1","393.02","28.756","1328.118","1274.454"
"7","9","14","3","420","20.7","4.2","410.706","28.906","1386.881","1331.481"
"7","9","15","4","302","21.1","5.2","293.542","26.143","1004.282","959.661"
"7","9","16","204","306","22","4.7","418.153","29.689","1394.412","1338.788"
"7","9","17","243","202","23","4.1","284.149","28.635","925.498","882.942"
"7","9","18","196","101","23.9","3.6","121.975","25.898","375.484","345.868"
"7","9","19","34","27","23","3.6","23.763","22.389","82.746","58.966"
"7","9","20","0","0","22","3.6","0","22","0","0"
"7","9","21","0","0","21.1","3.6","0","21.1","0","0"
"7","9","22","0","0","20.9","3.1","0","20.9","0","0"
"7","9","23","0","0","20.8","2.6","0","20.8","0","0"
"7","10","0","0","0","20.6","2.1","0","20.6","0","0"
"7","10","1","0","0","20.4","2.1","0","20.4","0","0"
"7","10","2","0","0","20.2","2.1","0","20.2","0","0"
"7","10","3","0","0","20","2.1","0","20","0","0"
"7","10","4","0","0","20.6","2.1","0","20.6","0","0"
"7","10","5","11","19","21.1","2.1","17.899","19.877","63.056","39.642"
"7","10","6","191","80","21.7","2.1","93.383","22.51","285.974","258.22"
